2,0.134784,0.365216
4,0.328619,0.171381
8,0.332966,0.167034
16,0.455299,0.044701
32,0.447332,0.052668
64,0.479044,0.020956
128,0.475115,0.024885
256,0.506367,0.006367
512,0.498519,0.001481
1024,0.498827,0.001173
2048,0.501740,0.001740
4096,0.499963,0.000037
8192,0.496130,0.003870
16384,0.499053,0.000947
32768,0.496637,0.003363
65536,0.498454,0.001546
131072,0.498915,0.001085
262144,0.498721,0.001279
524288,0.499732,0.000268
1048576,0.499982,0.000018
2097152,0.500024,0.000024
4194304,0.500020,0.000020
8388608,0.500057,0.000057
16777216,0.500033,0.000033
33554432,0.499986,0.000014
67108864,0.500014,0.000014
